week_ending,species_group,national_slaughter,slaughter_NSW,slaughter_QLD,slaughter_SA,slaughter_TAS,slaughter_VIC,slaughter_WA,ind_1 Western Young Cattle Indicator (c/kg cwt) price_avg,ind_2 National Restocker Yearling Steer Indicator (c/kg lwt) price_avg,ind_3 National Feeder Steer Indicator (c/kg lwt) price_avg,ind_4 National Heavy Steer Indicator (c/kg lwt) price_avg,ind_5 National Heavy Dairy Cow Indicator (c/kg lwt) price_avg,ind_6 National Light Lamb Indicator (c/kg cwt) price_avg,ind_7 National Trade Lamb Indicator (c/kg cwt) price_avg,ind_8 National Heavy Lamb Indicator (c/kg cwt) price_avg,ind_9 National Merino Lamb Indicator (c/kg cwt) price_avg,ind_10 National Restocker Lamb Indicator (c/kg cwt) price_avg,ind_11 National Mutton Indicator (c/kg cwt) price_avg,ind_12 National Restocker Yearling Heifer Indicator (c/kg lwt) price_avg,ind_13 National Processor Cow Indicator (c/kg lwt) price_avg,ind_14 National Young Cattle Indicator (c/kg lwt) price_avg,ind_15 Online Young Cattle Indicator (c/kg lwt) price_avg,ind_16 Online Lamb Indicator ($/head) price_avg,ind_17 National Feeder Heifer Indicator (c/kg lwt) price_avg,ind_18 Online Sheep Indicator ($/head) price_avg,ind_1 Western Young Cattle Indicator (c/kg cwt) heads_avg,ind_2 National Restocker Yearling Steer Indicator (c/kg lwt) heads_avg,ind_3 National Feeder Steer Indicator (c/kg lwt) heads_avg,ind_4 National Heavy Steer Indicator (c/kg lwt) heads_avg,ind_5 National Heavy Dairy Cow Indicator (c/kg lwt) heads_avg,ind_6 National Light Lamb Indicator (c/kg cwt) heads_avg,ind_7 National Trade Lamb Indicator (c/kg cwt) heads_avg,ind_8 National Heavy Lamb Indicator (c/kg cwt) heads_avg,ind_9 National Merino Lamb Indicator (c/kg cwt) heads_avg,ind_10 National Restocker Lamb Indicator (c/kg cwt) heads_avg,ind_11 National Mutton Indicator (c/kg cwt) heads_avg,ind_12 National Restocker Yearling Heifer Indicator (c/kg lwt) heads_avg,ind_13 National Processor Cow Indicator (c/kg lwt) heads_avg,ind_14 National Young Cattle Indicator (c/kg lwt) heads_avg,ind_15 Online Young Cattle Indicator (c/kg lwt) heads_avg,ind_16 Online Lamb Indicator ($/head) heads_avg,ind_17 National Feeder Heifer Indicator (c/kg lwt) heads_avg,ind_18 Online Sheep Indicator ($/head) heads_avg
4/4/2025,Calves,5893,1828,14,2,149,3895,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025,Cattle,143887,35956,73128,3779,4957,23467,2600,607.3590424,387.7796409,386.1146098,376.2843856,265.7020728,,,,,,,318.6074232,315.4344851,379.9661551,395.5342078,,334.4366339,,893,1795.75,4755.25,1247.25,1154,,,,,,,1235.75,9573.75,16019,7985.25,,2976.5,
4/4/2025,Deer,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025,Goat,50786,17320,14469,907,0,18090,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025,Lambs,506224,125454,1403,57300,10773,252912,58382,,,,,,716.9380021,805.4202097,812.6646301,680.3031619,765.0478672,,,,,,124.6600355,,,,,,,,23929.75,45886.75,27132.25,16359.5,28636.75,,,,,,15498.25,,
4/4/2025,Pigs,96945,18405,26519,24248,0,25015,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2025,Sheep,190383,76757,36,17086,6729,49481,40294,,,,,,,,,,,516.2759345,,,,,,,135.1285047,,,,,,,,,,,62488.5,,,,,,,554.5
11/4/2025,Calves,6348,2008,9,1,190,4133,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2025,Cattle,152180,37994,77335,3815,5016,25411,2609,634.9719668,392.697114,388.4934793,375.8032768,259.8530193,,,,,,,321.8462001,307.2732639,376.1744699,391.1594372,,339.7879245,,1020.714286,2337.571429,6233.714286,1411.857143,1524.714286,,,,,,,1552.857143,12325.14286,14268.57143,6329,,4326.285714,
11/4/2025,Deer,8,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2025,Goat,61155,19903,22894,2057,0,16301,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2025,Lambs,527045,131364,1460,61959,11563,261758,58941,,,,,,730.35571,809.3634241,815.1339907,681.733056,758.6507914,,,,,,125.5192414,,,,,,,,31932.85714,52364.42857,29556.28571,22187.42857,35242.28571,,,,,,16989.71429,,
11/4/2025,Pigs,101960,18338,27631,26953,0,26312,2726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2025,Sheep,197582,78957,17,16653,6755,54868,40332,,,,,,,,,,,516.9473551,,,,,,,138.4359426,,,,,,,,,,,96537.71429,,,,,,,972.5714286
18/4/2025,Calves,5959,1892,13,0,102,3952,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
