report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-06-01,Slaughter,Sheep,New South Wales,000,931.0000
2025-06-01,Slaughter,Calves,New South Wales,000,20.4000
2025-06-01,Slaughter,Lambs,Queensland,000,20.7000
2025-06-01,Production,Sheep,New South Wales,Tonnes,24426.0000
2025-06-01,Production,Calves,New South Wales,Tonnes,2322.0000
2025-06-01,Slaughter,Pigs,Queensland,000,361.7000
2025-06-01,Production,Lambs,Victoria,Tonnes,85706.0000
2025-06-01,Production,Total Red Meat,Northern Territory,Tonnes,0.0000
2025-06-01,Production,Total Red Meat,South Australia,Tonnes,78861.0000
2025-06-01,Slaughter,Calves,South Australia,000,0.0000
2025-06-01,Slaughter,Lambs,New South Wales,000,1527.2000
2025-06-01,Production,Cattle (Excl. Calves),Tasmania,Tonnes,18056.0000
2025-06-01,Slaughter,Lambs,Australian Capital Territory,000,0.0000
2025-06-01,Slaughter,Pigs,Victoria,000,347.1000
2025-09-01,Production,Calves,Australian Capital Territory,Tonnes,0.0000
2025-09-01,Slaughter,Chickens,New South Wales,000,68222.0000
2025-09-01,Slaughter,Pigs,Tasmania,000,7.3000
2025-09-01,Production,Total Red Meat,Australia,Tonnes,1066439.0000
2025-09-01,Slaughter,Calves,Queensland,000,0.1000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Victoria,000,174.0000
2025-09-01,Production,Chickens,Queensland,Tonnes,63543.0000
2025-09-01,Production,Pigs,South Australia,Tonnes,26663.0000
2025-09-01,Slaughter,Pigs,Queensland,000,364.0000
2025-09-01,Production,Cattle (Excl. Calves),South Australia,Tonnes,30259.0000
2025-09-01,Slaughter,Lambs,South Australia,000,416.8000
2025-09-01,Slaughter,Pigs,Australian Capital Territory,000,0.0000
2025-09-01,Production,Cattle (Excl. Calves),Queensland,Tonnes,349740.0000
2025-09-01,Slaughter,Cows And Heifers,Western Australia,000,79.4000
2025-09-01,Slaughter,Calves,South Australia,000,0.0000
2025-09-01,Slaughter,Calves,Western Australia,000,0.3000
2025-09-01,Slaughter,Pigs,Australia,000,1466.8000
2025-09-01,Slaughter,Chickens,Australia,000,191521.3000
2025-09-01,Slaughter,Lambs,Western Australia,000,518.2000
2025-12-01,Slaughter,Chickens,Victoria,000,39853.7000
2025-12-01,Slaughter,Cattle (Excl. Calves),Australian Capital Territory,000,0.0000
2025-12-01,Slaughter,Cows And Heifers,Australian Capital Territory,000,0.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),South Australia,000,86.6000
2025-12-01,Production,Sheep,Western Australia,Tonnes,13564.0000
2025-12-01,Slaughter,Pigs,South Australia,000,294.6000
2025-12-01,Slaughter,Chickens,Queensland,000,35277.3000
2025-12-01,Production,Sheep,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Slaughter,Sheep,Western Australia,000,455.5000
2025-06-01,Production,Lambs,New South Wales,Tonnes,40001.0000
2025-06-01,Production,Sheep,Victoria,Tonnes,18814.0000
2025-06-01,Slaughter,Pigs,Australian Capital Territory,000,0.0000
2025-06-01,Production,Total Red Meat,Victoria,Tonnes,289604.0000
2025-06-01,Slaughter,Cows And Heifers,Northern Territory,000,0.0000
2025-06-01,Production,Sheep,South Australia,Tonnes,4408.0000
2025-06-01,Slaughter,Chickens,Western Australia,000,0.0000
2025-06-01,Production,Total Red Meat,Western Australia,Tonnes,82023.0000
2025-06-01,Production,Pigs,Queensland,Tonnes,31182.0000
2025-06-01,Production,Chickens,Western Australia,Tonnes,0.0000
2025-06-01,Slaughter,Cows And Heifers,New South Wales,000,323.9000
2025-06-01,Production,Pigs,Western Australia,Tonnes,18664.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Queensland,000,1074.8000
2025-09-01,Slaughter,Cattle (Excl. Calves),New South Wales,000,557.4000
2025-09-01,Slaughter,Chickens,Victoria,000,38835.2000
2025-09-01,Slaughter,Cows And Heifers,Australian Capital Territory,000,0.0000
2025-09-01,Production,Cattle (Excl. Calves),Western Australia,Tonnes,34566.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Western Australia,000,125.7000
2025-09-01,Slaughter,Sheep,Queensland,000,1.0000
2025-09-01,Slaughter,Calves,Victoria,000,128.2000
2025-09-01,Slaughter,Cows And Heifers,Queensland,000,422.2000
2025-09-01,Production,Total Red Meat,Victoria,Tonnes,277779.0000
2025-12-01,Slaughter,Pigs,Australian Capital Territory,000,0.0000
2025-12-01,Production,Sheep,New South Wales,Tonnes,26657.0000
2025-12-01,Slaughter,Cows And Heifers,Northern Territory,000,0.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),Victoria,000,542.7000
2025-12-01,Production,Chickens,New South Wales,Tonnes,153282.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",South Australia,000,54.1000
2025-06-01,Production,Calves,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Production,Cattle (Excl. Calves),Australia,Tonnes,717891.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Northern Territory,000,0.0000
2025-06-01,Slaughter,Chickens,South Australia,000,0.0000
2025-06-01,Slaughter,Lambs,Australia,000,6746.3000
2025-06-01,Production,Chickens,South Australia,Tonnes,0.0000
2025-06-01,Slaughter,Sheep,South Australia,000,183.5000
2025-06-01,Slaughter,Cows And Heifers,Australian Capital Territory,000,0.0000
2025-09-01,Production,Cattle (Excl. Calves),Victoria,Tonnes,161190.0000
2025-09-01,Production,Sheep,Northern Territory,Tonnes,0.0000
2025-09-01,Slaughter,Pigs,Victoria,000,326.2000
2025-09-01,Production,Sheep,Australia,Tonnes,52341.0000
