result_date,category_desc,state_id,saleyard_id,tranx_type_id,head_count
2025-05-20,Cattle,VIC,SHE,Prime,2400.0
2025-07-22,Cattle,VIC,SHE,Prime,1300.0
2025-09-09,Cattle,VIC,SHE,Prime,1500.0
2025-09-23,Cattle,VIC,SHE,Prime,1309.0
2025-10-13,Cattle,VIC,MTL,Prime,1627.0
2025-10-21,Cattle,VIC,SHE,Prime,1700.0
2025-10-28,Cattle,VIC,SHE,Prime,1700.0
2026-01-27,Cattle,VIC,SHE,Prime,1400.0
2026-02-23,Cattle,VIC,MTL,Prime,1687.0
2026-03-02,Cattle,VIC,MTL,Prime,2250.0
2026-03-03,Cattle,VIC,SHE,Prime,1400.0
2026-03-27,Cattle,NSW,TAM,Store,8480.0
2025-04-08,Cattle,VIC,WOD,Prime,2200.0
2025-04-22,Cattle,VIC,LEO,Prime,1030.0
2025-06-02,Cattle,NSW,TAM,Prime,1914.0
2025-06-03,Cattle,VIC,WOD,Prime,1960.0
2025-07-14,Cattle,NSW,TAM,Prime,3000.0
2025-07-31,Cattle,NSW,YAS,Prime,300.0
2025-08-18,Cattle,NSW,TAM,Prime,2921.0
2025-09-01,Cattle,NSW,TAM,Prime,2177.0
2025-09-25,Cattle,NSW,YAS,Prime,254.0
2025-09-30,Cattle,VIC,LEO,Prime,1776.0
2025-10-07,Cattle,VIC,WOD,Prime,1080.0
2025-10-14,Cattle,VIC,WOD,Prime,1200.0
2026-01-08,Cattle,VIC,WOD,Store,2969.0
2026-02-03,Cattle,VIC,WOD,Prime,1800.0
2026-03-23,Cattle,NSW,FOR,Prime,1547.0
2026-04-21,Cattle,NSW,GUN,Prime,7800.0
2025-06-12,Cattle,QLD,BLA,Prime,3000.0
2025-06-19,Cattle,NSW,DUB,Prime,3820.0
2025-06-25,Cattle,VIC,ECH,Prime,1238.0
2025-07-02,Cattle,VIC,ECH,Prime,950.0
2025-07-16,Cattle,SA,MOU,Prime,510.0
2025-07-24,Cattle,NSW,DUB,Prime,4375.0
2025-08-14,Cattle,NSW,DUB,Prime,7330.0
2025-08-20,Cattle,VIC,ECH,Prime,1173.0
2025-09-10,Cattle,VIC,ECH,Prime,1760.0
2025-10-20,Cattle,NSW,WAG,Prime,4892.0
2025-11-10,Cattle,NSW,WAG,Prime,5000.0
2025-11-19,Cattle,VIC,ECH,Prime,1316.0
2025-12-10,Cattle,VIC,ECH,Prime,1991.0
2026-01-05,Cattle,NSW,WAG,Prime,1955.0
2026-02-12,Cattle,WA,MTB,Prime,1068.0
2026-03-09,Cattle,NSW,WAG,Prime,3560.0
2025-05-12,Cattle,NSW,WAG,Prime,8610.0
2025-05-27,Cattle,NSW,SCO,Prime,466.0
2025-07-08,Cattle,NSW,SCO,Prime,689.0
2025-07-22,Cattle,NSW,CTL,Prime,872.0
2025-07-28,Cattle,WA,MUC,Prime,1104.0
2025-08-25,Cattle,WA,MUC,Prime,851.0
2025-09-02,Cattle,NSW,CTL,Prime,745.0
2025-09-08,Cattle,WA,MUC,Prime,1381.0
2025-04-28,Cattle,NSW,WAG,Prime,6550.0
2025-05-27,Cattle,QLD,WAR,Prime,1113.0
2025-06-03,Cattle,NSW,CTL,Prime,2224.0
2025-06-24,Cattle,QLD,WAR,Prime,1189.0
2025-07-01,Cattle,NSW,SCO,Prime,1252.0
2025-07-01,Cattle,NSW,CTL,Prime,1700.0
2025-07-07,Cattle,WA,MUC,Prime,621.0
2025-07-29,Cattle,QLD,WAR,Prime,391.0
2025-08-26,Cattle,NSW,CTL,Prime,667.0
2025-09-02,Cattle,NSW,SCO,Prime,1353.0
2025-10-07,Cattle,NSW,CTL,Prime,1118.0
2025-10-07,Cattle,NSW,SCO,Prime,970.0
2025-10-27,Cattle,WA,MUC,Prime,1632.0
2025-11-19,Cattle,QLD,DAL,Prime,7278.0
2026-01-20,Cattle,NSW,SCO,Prime,996.0
2026-02-03,Cattle,NSW,CTL,Prime,3650.0
2025-04-10,Cattle,NSW,ARM,Prime,1462.0
2025-04-29,Cattle,SA,ADP,Prime,180.0
2025-05-13,Cattle,SA,ADP,Prime,273.0
2025-06-11,Cattle,VIC,BAR,Prime,335.0
2025-06-24,Cattle,TAS,POW,Prime,172.0
2025-04-15,Cattle,SA,NAR,Prime,613.0
2025-06-04,Cattle,QLD,GME,Prime,4450.0
2025-04-30,Cattle,QLD,GME,Prime,3132.0
2025-07-15,Cattle,VIC,SHE,Prime,1500.0
2025-07-29,Cattle,SA,NAR,Prime,334.0
2025-09-05,Cattle,NSW,TAM,Store,4352.0
2025-11-10,Cattle,VIC,MTL,Prime,1907.0
2025-12-02,Cattle,VIC,SHE,Prime,2105.0
2026-03-13,Cattle,NSW,TAM,Store,8200.0
2026-04-07,Cattle,VIC,SHE,Prime,953.0
2025-07-08,Cattle,VIC,LEO,Prime,1951.0
2025-07-29,Cattle,VIC,LEO,Prime,2178.0
2025-08-05,Cattle,VIC,WOD,Prime,502.0
2025-08-11,Cattle,NSW,TAM,Prime,3625.0
2025-09-16,Cattle,VIC,WOD,Prime,830.0
2026-01-09,Cattle,VIC,WOD,Store,2400.0
2026-03-31,Cattle,NSW,GUN,Prime,6400.0
2026-04-17,Cattle,NSW,DUB,Store,1120.0
2025-04-29,Cattle,VIC,WOD,Prime,1800.0
2025-07-01,Cattle,NSW,INV,Prime,1128.0
2025-07-28,Cattle,NSW,FOR,Prime,1013.0
2025-09-12,Cattle,NSW,CTL,Store,2640.0
2025-09-17,Cattle,NSW,MOS,Prime,1470.0
2025-10-07,Cattle,NSW,INV,Prime,1316.0
2025-10-22,Cattle,SA,MOU,Prime,559.0
2025-11-14,Cattle,NSW,CTL,Store,3054.0
2025-11-04,Cattle,VIC,WOD,Prime,928.0
2026-02-06,Cattle,NSW,DUB,Store,515.0
2026-03-31,Cattle,VIC,WOD,Prime,530.0
2025-04-02,Cattle,VIC,ECH,Prime,1425.0
2025-04-29,Cattle,NSW,CTL,Prime,4774.0
2025-09-01,Cattle,WA,MUC,Prime,867.0
2025-09-30,Cattle,QLD,WAR,Prime,1252.0
2025-11-11,Cattle,NSW,CTL,Prime,1960.0
2026-02-10,Cattle,NSW,CTL,Prime,2979.0
2025-05-14,Cattle,QLD,GME,Prime,2787.0
2025-07-01,Cattle,SA,NAR,Prime,383.0
2025-07-08,Cattle,VIC,SHE,Prime,1800.0
2025-08-19,Cattle,SA,NAR,Prime,656.0
2025-09-02,Cattle,VIC,SHE,Prime,1300.0
2025-04-16,Cattle,QLD,CHT,Prime,752.0
2025-04-23,Cattle,VIC,BAL,Prime,248.0
2025-04-30,Cattle,QLD,CHT,Prime,2918.0
2025-05-20,Cattle,TAS,POW,Prime,197.0
2025-05-28,Cattle,NSW,SIN,Prime,628.0
2025-06-10,Cattle,SA,ADP,Prime,130.0
2025-07-02,Cattle,VIC,BAR,Prime,329.0
2025-07-22,Cattle,TAS,POW,Prime,70.0
2025-07-28,Cattle,VIC,MTL,Prime,1614.0
2025-08-05,Cattle,TAS,POW,Prime,132.0
2025-08-06,Cattle,SA,MCO,Prime,483.0
2025-05-08,Cattle,VIC,LEO,Store,4633.0
2025-05-21,Cattle,QLD,DAL,Prime,3970.0
2025-06-25,Cattle,QLD,DAL,Prime,5326.0
2025-07-02,Cattle,QLD,DAL,Prime,4638.0
2025-07-16,Cattle,QLD,DAL,Prime,6518.0
2025-10-09,Cattle,VIC,LEO,Store,3786.0
