calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2025-04-01,Cattle,1,Western Young Cattle Indicator,c/kg cwt,920.0,595.6209516304
2025-04-02,Cattle,1,Western Young Cattle Indicator,c/kg cwt,920.0,595.6209516304
2025-04-03,Cattle,1,Western Young Cattle Indicator,c/kg cwt,866.0,619.0971331409
2025-04-04,Cattle,1,Western Young Cattle Indicator,c/kg cwt,866.0,619.0971331409
2025-04-05,Cattle,1,Western Young Cattle Indicator,c/kg cwt,866.0,619.0971331409
2025-04-06,Cattle,1,Western Young Cattle Indicator,c/kg cwt,866.0,619.0971331409
2025-04-07,Cattle,1,Western Young Cattle Indicator,c/kg cwt,913.0,617.5456989047
2025-04-08,Cattle,1,Western Young Cattle Indicator,c/kg cwt,913.0,617.5456989047
2025-04-09,Cattle,1,Western Young Cattle Indicator,c/kg cwt,913.0,617.5456989047
2025-04-10,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1337.0,676.9862023186
2025-04-11,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1337.0,676.9862023186
2025-04-12,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1337.0,676.9862023186
2025-04-13,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1337.0,676.9862023186
2025-04-14,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1717.0,689.2476659289
2025-04-15,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1717.0,689.2476659289
2025-04-16,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1717.0,689.2476659289
2025-04-17,Cattle,1,Western Young Cattle Indicator,c/kg cwt,676.0,666.4184286982
2025-04-18,Cattle,1,Western Young Cattle Indicator,c/kg cwt,676.0,666.4184286982
2025-04-19,Cattle,1,Western Young Cattle Indicator,c/kg cwt,676.0,666.4184286982
2025-04-20,Cattle,1,Western Young Cattle Indicator,c/kg cwt,676.0,666.4184286982
2025-04-28,Cattle,1,Western Young Cattle Indicator,c/kg cwt,265.0,614.2682592453
2025-04-29,Cattle,1,Western Young Cattle Indicator,c/kg cwt,265.0,614.2682592453
2025-04-30,Cattle,1,Western Young Cattle Indicator,c/kg cwt,265.0,614.2682592453
2025-05-01,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1105.0,702.6753115837
2025-05-02,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1105.0,702.6753115837
2025-05-03,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1105.0,702.6753115837
2025-05-04,Cattle,1,Western Young Cattle Indicator,c/kg cwt,1105.0,702.6753115837
