indicator_name,indicator_date,indicator_units,indicator_value
CME Feeder Cattle Index,2026-01-01,US c/lb lwt,350.22
"Bonner Cows, 85% lean",2026-01-02,US c/lb cwt,272.50
"Breaker Cows, Carcass Price, 75% lean",2026-01-02,US c/lb cwt,281.50
"Fed Steer, 5-Day Average",2026-01-02,US c/lb lwt,229.78
Cutter Cow Carcass Cutout,2026-01-02,US c/lb cwt,310.79
"Cutter Cow, Carcass Price, 90% Lean",2026-01-02,US c/lb cwt,264.50
CME Feeder Cattle Index,2026-01-08,US c/lb lwt,367.90
Cutter Cow Carcass Cutout,2026-01-09,US c/lb cwt,309.40
"Bonner Cows, 85% lean",2026-01-09,US c/lb cwt,284.00
"Breaker Cows, Carcass Price, 75% lean",2026-01-09,US c/lb cwt,281.00
"Cutter Cow, Carcass Price, 90% Lean",2026-01-09,US c/lb cwt,267.00
"Fed Steer, 5-Day Average",2026-01-09,US c/lb lwt,231.85
CME Feeder Cattle Index,2026-01-15,US c/lb lwt,370.15
"Fed Steer, 5-Day Average",2026-01-16,US c/lb lwt,232.30
"Cutter Cow, Carcass Price, 90% Lean",2026-01-16,US c/lb cwt,269.50
Cutter Cow Carcass Cutout,2026-01-16,US c/lb cwt,319.71
"Bonner Cows, 85% lean",2026-01-16,US c/lb cwt,279.50
"Breaker Cows, Carcass Price, 75% lean",2026-01-16,US c/lb cwt,284.50
CME Feeder Cattle Index,2026-01-22,US c/lb lwt,363.48
"Fed Steer, 5-Day Average",2026-01-23,US c/lb lwt,234.74
Cutter Cow Carcass Cutout,2026-01-23,US c/lb cwt,316.54
"Bonner Cows, 85% lean",2026-01-23,US c/lb cwt,276.50
"Cutter Cow, Carcass Price, 90% Lean",2026-01-23,US c/lb cwt,261.50
"Breaker Cows, Carcass Price, 75% lean",2026-01-23,US c/lb cwt,286.00
CME Feeder Cattle Index,2026-01-29,US c/lb lwt,370.69
Cutter Cow Carcass Cutout,2026-01-30,US c/lb cwt,321.51
"Bonner Cows, 85% lean",2026-01-30,US c/lb cwt,278.00
"Cutter Cow, Carcass Price, 90% Lean",2026-01-30,US c/lb cwt,264.50
"Breaker Cows, Carcass Price, 75% lean",2026-01-30,US c/lb cwt,281.50
"Fed Steer, 5-Day Average",2026-01-30,US c/lb lwt,235.07
CME Feeder Cattle Index,2026-02-05,US c/lb lwt,374.47
"Breaker Cows, Carcass Price, 75% lean",2026-02-06,US c/lb cwt,272.50
Cutter Cow Carcass Cutout,2026-02-06,US c/lb cwt,322.53
"Bonner Cows, 85% lean",2026-02-06,US c/lb cwt,280.50
"Cutter Cow, Carcass Price, 90% Lean",2026-02-06,US c/lb cwt,267.50
"Fed Steer, 5-Day Average",2026-02-06,US c/lb lwt,239.40
CME Feeder Cattle Index,2026-02-12,US c/lb lwt,373.91
"Fed Steer, 5-Day Average",2026-02-13,US c/lb lwt,242.49
Cutter Cow Carcass Cutout,2026-02-13,US c/lb cwt,331.03
CME Feeder Cattle Index,2026-02-19,US c/lb lwt,377.37
"Bonner Cows, 85% lean",2026-02-20,US c/lb cwt,289.00
"Fed Steer, 5-Day Average",2026-02-20,US c/lb lwt,245.24
"Cutter Cow, Carcass Price, 90% Lean",2026-02-20,US c/lb cwt,268.00
Cutter Cow Carcass Cutout,2026-02-20,US c/lb cwt,331.82
"Breaker Cows, Carcass Price, 75% lean",2026-02-20,US c/lb cwt,287.00
CME Feeder Cattle Index,2026-02-26,US c/lb lwt,372.79
Cutter Cow Carcass Cutout,2026-02-27,US c/lb cwt,333.90
"Cutter Cow, Carcass Price, 90% Lean",2026-02-27,US c/lb cwt,269.50
"Fed Steer, 5-Day Average",2026-02-27,US c/lb lwt,246.04
"Breaker Cows, Carcass Price, 75% lean",2026-02-27,US c/lb cwt,279.50
"Bonner Cows, 85% lean",2026-02-27,US c/lb cwt,291.50
CME Feeder Cattle Index,2026-03-05,US c/lb lwt,367.32
"Fed Steer, 5-Day Average",2026-03-06,US c/lb lwt,241.89
"Bonner Cows, 85% lean",2026-03-06,US c/lb cwt,288.00
Cutter Cow Carcass Cutout,2026-03-06,US c/lb cwt,334.61
"Breaker Cows, Carcass Price, 75% lean",2026-03-06,US c/lb cwt,282.00
"Cutter Cow, Carcass Price, 90% Lean",2026-03-06,US c/lb cwt,273.00
CME Feeder Cattle Index,2026-03-12,US c/lb lwt,358.35
"Bonner Cows, 85% lean",2026-03-13,US c/lb cwt,293.00
"Fed Steer, 5-Day Average",2026-03-13,US c/lb lwt,238.47
"Cutter Cow, Carcass Price, 90% Lean",2026-03-13,US c/lb cwt,273.00
Cutter Cow Carcass Cutout,2026-03-13,US c/lb cwt,338.33
"Breaker Cows, Carcass Price, 75% lean",2026-03-13,US c/lb cwt,287.50
CME Feeder Cattle Index,2026-03-19,US c/lb lwt,362.06
"Bonner Cows, 85% lean",2026-03-20,US c/lb cwt,295.50
Cutter Cow Carcass Cutout,2026-03-20,US c/lb cwt,343.94
"Breaker Cows, Carcass Price, 75% lean",2026-03-20,US c/lb cwt,287.50
"Fed Steer, 5-Day Average",2026-03-20,US c/lb lwt,235.91
"Cutter Cow, Carcass Price, 90% Lean",2026-03-20,US c/lb cwt,284.50
CME Feeder Cattle Index,2026-03-26,US c/lb lwt,362.98
"Bonner Cows, 85% lean",2026-03-27,US c/lb cwt,298.50
"Cutter Cow, Carcass Price, 90% Lean",2026-03-27,US c/lb cwt,278.00
Cutter Cow Carcass Cutout,2026-03-27,US c/lb cwt,348.92
"Breaker Cows, Carcass Price, 75% lean",2026-03-27,US c/lb cwt,286.00
"Fed Steer, 5-Day Average",2026-03-27,US c/lb lwt,235.23
CME Feeder Cattle Index,2026-04-02,US c/lb lwt,366.81
Cutter Cow Carcass Cutout,2026-04-03,US c/lb cwt,350.93
"Bonner Cows, 85% lean",2026-04-03,US c/lb cwt,301.50
"Breaker Cows, Carcass Price, 75% lean",2026-04-03,US c/lb cwt,293.50
"Cutter Cow, Carcass Price, 90% Lean",2026-04-03,US c/lb cwt,280.00
"Fed Steer, 5-Day Average",2026-04-03,US c/lb lwt,243.45
CME Feeder Cattle Index,2026-04-09,US c/lb lwt,366.67
"Fed Steer, 5-Day Average",2026-04-10,US c/lb lwt,245.90
"Breaker Cows, Carcass Price, 75% lean",2026-04-10,US c/lb cwt,299.50
"Bonner Cows, 85% lean",2026-04-10,US c/lb cwt,301.50
"Cutter Cow, Carcass Price, 90% Lean",2026-04-10,US c/lb cwt,292.00
Cutter Cow Carcass Cutout,2026-04-10,US c/lb cwt,346.83
