indicator_name,indicator_date,indicator_units,indicator_value
"90CL Boneless Beef, NZ",2025-01-03,US c/lb,297.50
"90CL Boneless Beef, NZ/Australia",2025-01-03,US c/lb,297.50
90CL Shank,2025-01-03,US c/lb,287.50
Cap Off Insides,2025-01-03,US c/lb,365.00
85CL Trim,2025-01-03,US c/lb,277.00
85CL Cow Fores,2025-01-03,US c/lb,278.50
80CL Trim,2025-01-03,US c/lb,246.00
75CL Trim,2025-01-03,US c/lb,206.00
"95CL Bull Meat, East Coast",2025-01-03,US c/lb,316.00
Steer Knuckles,2025-01-03,US c/lb,332.50
"95CL Bull Meat, West Coast",2025-01-03,US c/lb,315.50
Steer Flats,2025-01-03,US c/lb,325.00
Steer Flats,2025-01-10,US c/lb,332.50
85CL Cow Fores,2025-01-10,US c/lb,280.50
"95CL Bull Meat, East Coast",2025-01-10,US c/lb,317.50
"90CL Boneless Beef, NZ/Australia",2025-01-10,US c/lb,299.00
Cap Off Insides,2025-01-10,US c/lb,370.00
"90CL Boneless Beef, NZ",2025-01-10,US c/lb,299.00
80CL Trim,2025-01-10,US c/lb,248.50
75CL Trim,2025-01-10,US c/lb,210.00
Steer Knuckles,2025-01-10,US c/lb,337.50
90CL Shank,2025-01-10,US c/lb,292.50
85CL Trim,2025-01-10,US c/lb,279.00
"95CL Bull Meat, West Coast",2025-01-10,US c/lb,316.50
"90CL Boneless Beef, NZ/Australia",2025-01-17,US c/lb,300.00
Steer Flats,2025-01-17,US c/lb,337.50
80CL Trim,2025-01-17,US c/lb,249.00
"95CL Bull Meat, East Coast",2025-01-17,US c/lb,319.00
90CL Shank,2025-01-17,US c/lb,292.50
Cap Off Insides,2025-01-17,US c/lb,372.50
"95CL Bull Meat, West Coast",2025-01-17,US c/lb,318.00
85CL Cow Fores,2025-01-17,US c/lb,282.00
"90CL Boneless Beef, NZ",2025-01-17,US c/lb,300.00
Steer Knuckles,2025-01-17,US c/lb,342.50
85CL Trim,2025-01-17,US c/lb,280.50
75CL Trim,2025-01-17,US c/lb,212.50
Cap Off Insides,2025-01-24,US c/lb,372.50
Steer Knuckles,2025-01-24,US c/lb,342.50
"90CL Boneless Beef, NZ",2025-01-24,US c/lb,300.50
75CL Trim,2025-01-24,US c/lb,214.50
"90CL Boneless Beef, NZ/Australia",2025-01-24,US c/lb,300.50
90CL Shank,2025-01-24,US c/lb,292.50
Steer Flats,2025-01-24,US c/lb,337.50
85CL Cow Fores,2025-01-24,US c/lb,282.50
"95CL Bull Meat, East Coast",2025-01-24,US c/lb,319.00
80CL Trim,2025-01-24,US c/lb,249.00
"95CL Bull Meat, West Coast",2025-01-24,US c/lb,318.50
85CL Trim,2025-01-24,US c/lb,281.50
"95CL Bull Meat, East Coast",2025-01-31,US c/lb,320.50
85CL Trim,2025-01-31,US c/lb,282.50
"95CL Bull Meat, West Coast",2025-01-31,US c/lb,320.00
80CL Trim,2025-01-31,US c/lb,246.50
"90CL Boneless Beef, NZ/Australia",2025-01-31,US c/lb,300.50
Steer Knuckles,2025-01-31,US c/lb,342.50
85CL Cow Fores,2025-01-31,US c/lb,284.00
75CL Trim,2025-01-31,US c/lb,213.00
Steer Flats,2025-01-31,US c/lb,337.50
Cap Off Insides,2025-01-31,US c/lb,372.50
90CL Shank,2025-01-31,US c/lb,292.50
"90CL Boneless Beef, NZ",2025-01-31,US c/lb,300.50
"95CL Bull Meat, East Coast",2025-02-07,US c/lb,322.00
Cap Off Insides,2025-02-07,US c/lb,375.00
75CL Trim,2025-02-07,US c/lb,212.50
85CL Trim,2025-02-07,US c/lb,282.50
Steer Knuckles,2025-02-07,US c/lb,335.00
"90CL Boneless Beef, NZ/Australia",2025-02-07,US c/lb,302.50
