result_date,contributor_state_id,species_id,slaughter_count
2024-05-03,WA,Goat,0
2024-05-03,QLD,Sheep,42
2024-05-03,NSW,Calves,1356
2024-05-03,TAS,Calves,0
2024-05-03,QLD,Deer,16
2024-05-03,VIC,Cattle,19515
2024-05-03,SA,Lambs,54623
2024-05-03,VIC,Pigs,26113
2024-05-03,WA,Pigs,2712
2024-05-03,SA,Sheep,14624
2024-05-03,SA,Goat,723
2024-05-03,QLD,Pigs,25519
2024-05-03,TAS,Sheep,5315
2024-05-03,VIC,Calves,3813
2024-05-03,SA,Pigs,25167
2024-05-03,VIC,Goat,21594
2024-05-03,WA,Lambs,54464
2024-05-03,NSW,Lambs,127389
2024-05-03,QLD,Goat,19164
2024-05-03,QLD,Lambs,1767
2024-05-03,NSW,Goat,19777
2024-05-03,QLD,Calves,4
2024-05-03,VIC,Sheep,45421
2024-05-03,SA,Calves,9
2024-05-03,TAS,Lambs,9439
2024-05-03,VIC,Deer,0
2024-05-03,WA,Deer,0
2024-05-03,WA,Sheep,38871
2024-05-03,QLD,Cattle,73432
2024-05-03,NSW,Cattle,33359
2024-05-03,NSW,Pigs,17966
2024-05-03,WA,Calves,4
2024-05-03,WA,Cattle,2697
2024-05-03,TAS,Cattle,4477
2024-05-03,NSW,Sheep,83680
2024-05-03,NSW,Deer,0
2024-05-03,VIC,Lambs,254542
2024-05-03,SA,Deer,0
2024-05-03,SA,Cattle,3465
2024-05-10,QLD,Deer,0
2024-05-10,VIC,Goat,22030
2024-05-10,VIC,Cattle,20419
2024-05-10,VIC,Lambs,245527
2024-05-10,VIC,Deer,0
2024-05-10,NSW,Deer,0
2024-05-10,WA,Goat,10
2024-05-10,TAS,Calves,0
2024-05-10,NSW,Goat,19988
2024-05-10,NSW,Pigs,17692
2024-05-10,QLD,Sheep,56
2024-05-10,SA,Lambs,65032
2024-05-10,QLD,Cattle,62747
2024-05-10,NSW,Sheep,80770
2024-05-10,SA,Deer,0
2024-05-10,TAS,Sheep,4617
2024-05-10,QLD,Goat,19172
2024-05-10,WA,Lambs,56734
2024-05-10,SA,Cattle,3432
2024-05-10,SA,Goat,828
2024-05-10,WA,Cattle,2798
2024-05-10,VIC,Calves,4041
2024-05-10,WA,Deer,0
2024-05-10,TAS,Lambs,9857
2024-05-10,QLD,Calves,7
2024-05-10,NSW,Lambs,127309
2024-05-10,SA,Calves,10
2024-05-10,SA,Pigs,24312
2024-05-10,WA,Calves,0
2024-05-10,WA,Pigs,2742
2024-05-10,VIC,Sheep,49778
2024-05-10,QLD,Pigs,23888
2024-05-10,VIC,Pigs,25675
2024-05-10,WA,Sheep,39789
2024-05-10,QLD,Lambs,1252
2024-05-10,NSW,Calves,1577
2024-05-10,NSW,Cattle,34458
2024-05-10,SA,Sheep,13242
2024-05-10,TAS,Cattle,5191
2024-05-17,QLD,Goat,18845
2024-05-17,QLD,Pigs,27767
2024-05-17,TAS,Sheep,5091
2024-05-17,WA,Lambs,56057
2024-05-17,WA,Sheep,35422
2024-05-17,VIC,Pigs,24595
2024-05-17,NSW,Calves,749
2024-05-17,WA,Goat,8
2024-05-17,QLD,Deer,17
2024-05-17,VIC,Deer,0
2024-05-17,SA,Goat,1450
2024-05-17,VIC,Cattle,20695
2024-05-17,SA,Deer,0
2024-05-17,SA,Lambs,64398
2024-05-17,SA,Sheep,13016
2024-05-17,VIC,Sheep,54615
2024-05-17,VIC,Calves,3870
2024-05-17,QLD,Calves,3
2024-05-17,NSW,Deer,0
2024-05-17,SA,Calves,9
2024-05-17,TAS,Calves,0
2024-05-17,QLD,Sheep,66
2024-05-17,WA,Calves,5
2024-05-17,WA,Pigs,2684
2024-05-17,TAS,Cattle,5014
2024-05-17,NSW,Lambs,129125
2024-05-17,NSW,Cattle,33761
2024-05-17,QLD,Lambs,1446
2024-05-17,NSW,Pigs,17353
2024-05-17,WA,Deer,0
2024-05-17,WA,Cattle,2772
2024-05-17,NSW,Goat,19146
2024-05-17,SA,Cattle,3399
2024-05-17,VIC,Goat,20157
2024-05-17,QLD,Cattle,72568
2024-05-17,VIC,Lambs,248811
2024-05-17,SA,Pigs,23167
2024-05-17,NSW,Sheep,80671
2024-05-17,TAS,Lambs,9729
2024-05-24,NSW,Deer,0
2024-05-24,VIC,Lambs,255849
2024-05-24,WA,Sheep,35206
2024-05-24,QLD,Lambs,1499
2024-05-24,SA,Sheep,12468
2024-05-24,NSW,Cattle,32320
2024-05-24,WA,Deer,8
2024-05-24,SA,Calves,8
2024-05-24,WA,Calves,0
2024-05-24,TAS,Cattle,5072
