result_date,country_desc,meat_type_group_desc,weight_amt
2026-01-01,Canada East Coast,Beef And Veal,1760803.4898
2026-01-01,Canada West Coast,Beef And Veal,238879.4997
2026-01-01,China,Beef And Veal,16636558.9000
2026-01-01,Japan,Beef And Veal,14563316.9081
2026-01-01,Malaysia,Beef And Veal,674187.7998
2026-01-01,Philippines,Beef And Veal,2158392.6031
2026-01-01,South Korea,Beef And Veal,13100214.9088
2026-01-01,Saudi Arabia,Beef And Veal,699193.2998
2026-01-01,Taiwan,Beef And Veal,1541021.4986
2026-01-01,Usa East Coast,Beef And Veal,19860443.4611
2026-01-01,Usa West Coast,Beef And Veal,3886053.0007
2026-02-01,South Korea,Beef And Veal,18509783.7984
2026-02-01,Malaysia,Beef And Veal,895991.8013
2026-02-01,Canada East Coast,Beef And Veal,3658483.6687
2026-02-01,Canada West Coast,Beef And Veal,820041.0991
2026-02-01,Japan,Beef And Veal,20026554.4405
2026-02-01,Saudi Arabia,Beef And Veal,1062215.4997
2026-02-01,China,Beef And Veal,27018290.0028
2026-02-01,Usa West Coast,Beef And Veal,6614415.1939
2026-02-01,Taiwan,Beef And Veal,2750942.0030
2026-02-01,Usa East Coast,Beef And Veal,33329617.3755
2026-02-01,Philippines,Beef And Veal,3280749.3208
2026-03-01,Usa East Coast,Beef And Veal,34143356.9926
2026-03-01,South Korea,Beef And Veal,25543261.7861
2026-03-01,Saudi Arabia,Beef And Veal,846581.7014
2026-03-01,Taiwan,Beef And Veal,1785870.0004
2026-03-01,Malaysia,Beef And Veal,1077818.4990
2026-03-01,Japan,Beef And Veal,23861454.2510
2026-03-01,Canada West Coast,Beef And Veal,511112.2990
2026-03-01,Usa West Coast,Beef And Veal,7882312.4867
2026-03-01,Philippines,Beef And Veal,2451087.3165
2026-03-01,China,Beef And Veal,32907183.3990
2026-03-01,Canada East Coast,Beef And Veal,3955135.2871
2025-04-01,China,Beef And Veal,21572488.1273
2025-04-01,Japan,Beef And Veal,21444511.5440
2025-04-01,Saudi Arabia,Beef And Veal,1200513.8976
2025-04-01,Usa East Coast,Beef And Veal,30103143.6921
2025-04-01,Philippines,Beef And Veal,2858782.8158
2025-04-01,Usa West Coast,Beef And Veal,7109980.1057
2025-04-01,South Korea,Beef And Veal,20076247.0122
2025-04-01,Taiwan,Beef And Veal,2522638.8069
2025-04-01,Malaysia,Beef And Veal,661940.2028
2025-04-01,Canada East Coast,Beef And Veal,2774802.7016
2025-04-01,Canada West Coast,Beef And Veal,546834.7992
2025-05-01,South Korea,Beef And Veal,17408722.4641
2025-05-01,Saudi Arabia,Beef And Veal,1509311.0983
2025-05-01,Usa West Coast,Beef And Veal,6500514.9865
2025-05-01,China,Beef And Veal,23877235.4029
2025-05-01,Japan,Beef And Veal,19803013.8409
2025-05-01,Taiwan,Beef And Veal,3064848.9021
2025-05-01,Canada East Coast,Beef And Veal,4319622.1921
2025-05-01,Canada West Coast,Beef And Veal,721746.8999
2025-05-01,Malaysia,Beef And Veal,754037.1995
2025-05-01,Philippines,Beef And Veal,3122527.7196
2025-05-01,Usa East Coast,Beef And Veal,31798307.7594
2025-06-01,China,Beef And Veal,27265505.9054
2025-06-01,South Korea,Beef And Veal,19343109.9951
2025-06-01,Saudi Arabia,Beef And Veal,1356485.1952
2025-06-01,Canada West Coast,Beef And Veal,869570.7989
2025-06-01,Usa East Coast,Beef And Veal,28589584.1461
2025-06-01,Japan,Beef And Veal,21876438.8394
2025-06-01,Taiwan,Beef And Veal,2966816.5036
2025-06-01,Malaysia,Beef And Veal,1136065.4005
2025-06-01,Canada East Coast,Beef And Veal,3376105.8893
2025-06-01,Usa West Coast,Beef And Veal,6640521.9038
2025-06-01,Philippines,Beef And Veal,3195830.5172
2025-07-01,Saudi Arabia,Beef And Veal,1478185.4971
2025-07-01,Japan,Beef And Veal,23055832.2209
2025-07-01,Usa East Coast,Beef And Veal,35244688.3454
2025-07-01,South Korea,Beef And Veal,20869477.2778
2025-07-01,Taiwan,Beef And Veal,3763101.9854
2025-07-01,China,Beef And Veal,30925046.8076
2025-07-01,Canada East Coast,Beef And Veal,3810013.8797
2025-07-01,Canada West Coast,Beef And Veal,863762.9030
2025-07-01,Malaysia,Beef And Veal,879102.3984
2025-07-01,Usa West Coast,Beef And Veal,7793219.1064
2025-07-01,Philippines,Beef And Veal,2348191.1074
2025-08-01,China,Beef And Veal,22323176.8970
2025-08-01,Philippines,Beef And Veal,1844606.9017
2025-08-01,Usa East Coast,Beef And Veal,33776342.2266
2025-08-01,South Korea,Beef And Veal,21494686.4822
2025-08-01,Usa West Coast,Beef And Veal,6966432.5877
2025-08-01,Malaysia,Beef And Veal,1326720.0018
2025-08-01,Saudi Arabia,Beef And Veal,1318643.4973
2025-08-01,Taiwan,Beef And Veal,2648643.2970
2025-08-01,Japan,Beef And Veal,19407844.9184
2025-08-01,Canada East Coast,Beef And Veal,4892116.0832
2025-08-01,Canada West Coast,Beef And Veal,1108931.9999
2025-09-01,Usa East Coast,Beef And Veal,34272727.7312
2025-09-01,Saudi Arabia,Beef And Veal,1984799.1032
2025-09-01,Taiwan,Beef And Veal,2700937.8965
